order,z1
O1,0
O2,0
O3,0
O4,0
O5,0
O6,0
O7,0
O8,0
O9,0
O10,0
O11,0
O12,0
O13,1
O14,0
O15,0
O16,1
O17,0
O18,0
O19,0
O20,0
O21,0
O22,0
O23,0
O24,0
O25,0
O26,0
O27,0
O28,0
O29,0
O30,0
O31,0
O32,0
O33,0
O34,0
O35,0
O36,0
O37,1
O38,0
O39,0
O40,0
O41,0
O42,0
O43,0
O44,0
O45,1
O46,0
O47,0
O48,1
O49,0
O50,0
O51,0
O52,0
O53,0
O54,0
O55,1
O56,0
O57,0
O58,0
O59,0
O60,0
O61,0
O62,0
O63,0
O64,0
O65,0
O66,0
O67,0
O68,0
O69,0
O70,0
O71,1
O72,0
O73,0
O74,0
O75,0
O76,0
O77,0
O78,0
O79,1
O80,0
O81,0
O82,0
O83,0
O84,0
O85,0
O86,1
O87,1
O88,1
O89,0
O90,0
O91,1
O92,0
O93,1
O94,0
O95,0
O96,0
O97,1
O98,0
O99,0
O100,1
O101,1
O102,1
O103,0
O104,1
O105,1
O106,1
O107,1
O108,1
O109,1
O110,0
O111,0
O112,1
O113,1
O114,0
O115,1
O116,1
O117,0
O118,0
O119,0
O120,1
O121,1
O122,1
O123,0
O124,1
O125,0
O126,1
O127,0
O128,0
O129,0
O130,1
O131,1
O132,0
O133,0
O134,1
O135,0
O136,1
O137,1
O138,0
O139,0
O140,0
O141,0
O142,0
O143,0
O144,0
O145,0
O146,0
O147,1
O148,1
O149,0
O150,0
O151,0
O152,1
O153,0
O154,0
O155,1
O156,0
O157,0
O158,0
O159,0
O160,0
O161,0
O162,0
O163,1
O164,0
O165,0
O166,0
O167,0
O168,1
O169,0
O170,1
O171,1
O172,1
O173,1
O174,0
O175,1
O176,0
O177,0
O178,1
O179,1
