order,x
O1,24.0
O2,30.0
O3,18.0
O4,12.0
O5,18.0
O6,21.0
O7,30.0
O8,18.0
O9,30.0
O10,18.0
O11,6.0
O12,7.0
O13,6.0
O14,26.0
O15,22.0
O16,18.0
O17,12.0
O18,34.0
O19,32.0
O20,13.0
O21,9.0
O22,15.0
O23,31.0
O24,21.0
O25,27.0
O26,15.0
O27,8.0
O28,21.0
O29,7.0
O30,24.0
O31,15.0
O32,21.0
O33,15.0
O34,22.0
O35,18.0
O36,15.0
O37,21.0
O38,15.0
O39,15.0
O40,15.0
O41,21.0
O42,32.0
O43,12.0
O44,18.0
O45,30.0
O46,18.0
O47,24.0
O48,31.0
O49,27.0
O50,15.0
O51,36.0
O52,33.0
O53,15.0
O54,15.0
O55,21.0
O56,33.0
O57,18.0
O58,15.0
O59,15.0
O60,15.0
O61,15.0
O62,31.0
O63,18.0
O64,34.0
O65,36.0
O66,15.0
O67,15.0
O68,15.0
O69,21.0
O70,24.0
O71,23.0
O72,18.0
O73,18.0
O74,24.0
O75,18.0
O76,30.0
O77,18.0
O78,18.0
O79,18.0
O80,21.0
O81,34.0
O82,18.0
O83,18.0
O84,21.0
O85,23.0
O86,21.0
O87,21.0
O88,21.0
O89,21.0
O90,29.0
O91,23.0
O92,22.0
O93,21.0
O94,21.0
O95,22.0
O96,24.0
O97,24.0
O98,33.0
O99,21.0
O100,24.0
O101,25.0
O102,36.0
O103,36.0
O104,26.0
O105,21.0
O106,39.0
O107,28.0
O108,28.0
O109,24.0
O110,24.0
O111,29.0
O112,25.0
O113,24.0
O114,24.0
O115,24.0
O116,25.0
O117,25.0
O118,24.0
O119,24.0
O120,24.0
O121,24.0
O122,24.0
O123,30.0
O124,24.0
O125,24.0
O126,30.0
O127,27.0
O128,27.0
O129,31.0
O130,27.0
O131,31.0
O132,27.0
O133,34.0
O134,31.0
O135,30.0
O136,30.0
O137,35.0
O138,33.0
O139,30.0
O140,32.0
O141,30.0
O142,30.0
O143,36.0
O144,30.0
O145,34.0
O146,34.0
O147,32.0
O148,34.0
O149,39.0
O150,39.0
O151,33.0
O152,33.0
O153,42.0
O154,39.0
O155,33.0
O156,33.0
O157,34.0
O158,39.0
O159,33.0
O160,42.0
O161,41.0
O162,36.0
O163,38.0
O164,38.0
O165,38.0
O166,37.0
O167,42.0
O168,39.0
O169,41.0
O170,39.0
O171,37.0
O172,40.0
O173,39.0
O174,42.0
O175,39.0
O176,39.0
O177,42.0
O178,39.0
O179,47.0
O180,39.0
O181,39.0
O182,39.0
O183,39.0
O184,42.0
O185,42.0
O186,42.0
O187,44.0
O188,45.0
O189,42.0
O190,43.0
O191,45.0
O192,45.0
O193,47.0
O194,45.0
O195,45.0
O196,45.0
O197,45.0
M1,-1.0
M2,-1.0
M3,-1.0
M4,-1.0
M5,-1.0
M6,-1.0
M7,-1.0
M8,-1.0
M9,-1.0
M10,-1.0
M11,-1.0
M12,-1.0
M13,-1.0
M14,-1.0
M15,-1.0
M16,-1.0
M17,-1.0
M18,-1.0
M19,-1.0
M20,-1.0
M21,-1.0
M22,-1.0
M23,-1.0
M24,-1.0
M25,-1.0
M26,-1.0
M27,-1.0
M28,-1.0
M29,-1.0
M30,-1.0
M31,-1.0
M32,-1.0
M33,-1.0
M34,-1.0
M35,-1.0
M36,-1.0
M37,-1.0
M38,-1.0
M39,-1.0
M40,-1.0
M41,-1.0
M42,-1.0
M43,-1.0
M44,-1.0
